Number represents breeding pairs unless noted by * which represents individuals.,,,,,,,,,,,,,,
Year,Gannet Clusters,Outer Gannet Island,Herring Islands,Kidlit Islands,North Green Island,The Castle,The Doughboy,Baccalieu Island,Cabot Island,Cape St. Mary's,Funk Island,Great Island,Gull Island,The Drook
1936,,,,,,,,,,,10000,,,
1941,,,,,,,,5000,,,,,,
1942,,,,,,,,,,2500,,,50,
1945,,,,,,,,,100,,15000,,,
1951,,,,,,,,,,,40000,,,
1952,2750,8900,,,,,,,,,50000,,,
1958,,,,,,,,,,,400000,,,
1959,,,,,,,,2500,,2500,500000,,,
1969,,,,,,,,,,,,,136,
1970,,,,,,,,,,,,,260,
1971,,,,,,,,,,,,,316,
1972,17500,17700,,,,,,,,,389097,1970,,
1973,,,,,,,,,,,,2800,680,
1976,,,,,,,,,,,,,,125
1977,,,,,,,,,,,,,589,
1978,20616,26144,4133,737,186,,0,,,,,,687,
1979,,,,,,250,,1500,3232,10000,,2800,680,
1980,,,,,,,,,,,396400,,,
1981,,,,,,,,4000,,,,,,
1983,37155,23734,,,,,,,,,,,,
1984,,,,,,,,4000,,,,,,
1985,,,,,,,,,2600,,,,,12
1998,19360,17342,,,,,,,,,,,,
2000,,,,,,,,,,,412524,,,
2001,,,,,,,,,,,,,1172,
2002,,,,,445,,261,,,,,6098,998,
2003,,,,,,,,1086,,,,7369,1632,
2005,,,,,,,,,,,,5128,4963,138*
2006,,,,,,,,,,,,,3793,
2007,17614,13556,,,,,,,,15484,,,,
2008,,,,,,,,,,,,,3042,
2009,,,,40,,47,,,10000,,470639,4656,3496,152*
2010,,,2033,,25,,,1441*,,,,,,
2011,,,,,,,,,,,,534,4059,
2012,,,,,,,,,,,,,9929,
2013,,,,,,,,,,,,,8449,
2014,,,,,,,,,,,,,14364,
